GBTC,
TSLA,
AMD,
SQ,
DOCU
IQ,
NVDA,
MU,
ROKU,
CMG,
NFLX,
INTC,
CRM,
WDAY,
TWTR,
AMZN,
PANW,
PYPL,
SODA,
HEAR
